80
83, 29, 90, 
55, 51, 94, 
84, 6, 74, 
62, 54, 94, 
88, 58, 68, 
0, 61, 60, 
51, 26, 68, 
70, 60, 91, 
87, 77, 94, 
55, 9, 26, 
54, 96, 19, 
12, 74, 16, 
15, 42, 91, 
39, 45, 62, 
98, 60, 58, 
98, 37, 83, 
35, 90, 23, 
18, 84, 62, 
6, 25, 49, 
1, 16, 46, 
33, 90, 62, 
21, 92, 74, 
83, 50, 16, 
75, 37, 12, 
16, 27, 91, 
54, 65, 4, 
51, 72, 38, 
31, 12, 20, 
86, 70, 62, 
22, 63, 46, 
77, 69, 9, 
21, 12, 6, 
51, 92, 46, 
26, 1, 88, 
58, 31, 47, 
70, 51, 7, 
9, 69, 86, 
29, 67, 27, 
56, 80, 59, 
78, 2, 61, 
16, 40, 90, 
15, 89, 17, 
94, 5, 71, 
37, 76, 72, 
84, 58, 26, 
13, 53, 98, 
15, 69, 60, 
68, 50, 59, 
5, 47, 37, 
66, 86, 15, 
93, 92, 21, 
4, 79, 62, 
35, 56, 34, 
37, 81, 73, 
64, 63, 57, 
99, 10, 74, 
11, 79, 36, 
42, 1, 81, 
15, 34, 29, 
17, 61, 65, 
32, 88, 38, 
65, 82, 89, 
57, 72, 44, 
62, 55, 25, 
5, 97, 53, 
1, 54, 78, 
12, 34, 16, 
46, 12, 88, 
18, 40, 22, 
94, 6, 0, 
74, 87, 64, 
17, 39, 37, 
90, 72, 46, 
30, 95, 69, 
9, 62, 86, 
96, 69, 32, 
76, 68, 97, 
17, 25, 22, 
61, 44, 8, 
50, 73, 18, 
