100
72, 79, 22, 
31, 69, 48, 
79, 15, 28, 
37, 52, 73, 
26, 21, 7, 
37, 13, 98, 
0, 43, 6, 
65, 28, 98, 
57, 37, 17, 
59, 53, 57, 
58, 84, 84, 
74, 49, 78, 
17, 73, 98, 
34, 52, 33, 
18, 87, 61, 
35, 95, 63, 
49, 3, 34, 
18, 6, 34, 
14, 7, 94, 
76, 23, 94, 
89, 52, 59, 
42, 58, 82, 
40, 76, 10, 
65, 98, 79, 
91, 77, 86, 
89, 17, 22, 
82, 42, 74, 
97, 39, 8, 
67, 14, 29, 
99, 57, 83, 
10, 66, 77, 
12, 58, 48, 
12, 24, 53, 
64, 78, 19, 
42, 19, 97, 
64, 14, 80, 
80, 1, 64, 
82, 60, 48, 
43, 28, 31, 
72, 56, 5, 
3, 85, 23, 
97, 69, 12, 
92, 24, 43, 
43, 46, 1, 
3, 44, 38, 
86, 25, 19, 
32, 6, 95, 
36, 80, 19, 
87, 81, 31, 
78, 56, 17, 
96, 95, 56, 
30, 68, 97, 
33, 1, 72, 
25, 79, 12, 
34, 61, 26, 
83, 7, 17, 
37, 53, 24, 
69, 58, 28, 
14, 58, 34, 
43, 18, 5, 
59, 1, 20, 
68, 44, 64, 
79, 20, 61, 
3, 54, 71, 
20, 54, 98, 
67, 3, 25, 
12, 74, 95, 
3, 72, 48, 
20, 21, 98, 
33, 54, 40, 
12, 75, 72, 
11, 84, 20, 
98, 16, 19, 
72, 92, 45, 
42, 78, 33, 
22, 77, 23, 
10, 97, 61, 
23, 64, 64, 
86, 38, 15, 
98, 5, 14, 
67, 33, 85, 
67, 82, 48, 
53, 15, 20, 
9, 77, 40, 
60, 31, 17, 
66, 96, 23, 
71, 49, 10, 
68, 11, 58, 
48, 54, 69, 
21, 1, 16, 
22, 31, 97, 
76, 2, 41, 
31, 15, 1, 
17, 44, 56, 
72, 27, 43, 
6, 2, 51, 
79, 22, 12, 
17, 89, 77, 
25, 9, 50, 
46, 90, 88, 
