10000
11, 50, 29, 
28, 67, 44, 
45, 58, 2, 
48, 55, 28, 
86, 92, 96, 
5, 43, 17, 
41, 77, 16, 
31, 4, 19, 
9, 82, 52, 
62, 92, 63, 
24, 89, 88, 
67, 36, 60, 
13, 35, 40, 
22, 2, 80, 
52, 60, 7, 
65, 48, 2, 
31, 59, 77, 
16, 57, 1, 
53, 80, 97, 
4, 52, 70, 
25, 76, 67, 
16, 12, 20, 
44, 60, 11, 
90, 97, 30, 
83, 38, 21, 
26, 94, 85, 
84, 34, 57, 
85, 79, 60, 
81, 59, 69, 
74, 17, 32, 
32, 89, 12, 
32, 86, 27, 
11, 80, 29, 
20, 1, 10, 
37, 92, 48, 
46, 17, 91, 
23, 87, 61, 
21, 54, 30, 
70, 59, 26, 
30, 6, 25, 
54, 65, 42, 
54, 40, 34, 
98, 73, 16, 
44, 0, 53, 
74, 51, 83, 
99, 15, 24, 
30, 53, 11, 
14, 15, 22, 
19, 71, 50, 
10, 35, 25, 
64, 0, 32, 
48, 47, 95, 
22, 5, 65, 
96, 20, 17, 
47, 31, 47, 
74, 10, 86, 
51, 66, 34, 
7, 23, 68, 
97, 99, 60, 
50, 74, 2, 
97, 95, 38, 
17, 42, 41, 
55, 67, 98, 
45, 60, 15, 
17, 54, 52, 
72, 10, 71, 
58, 54, 5, 
45, 0, 96, 
12, 33, 50, 
75, 15, 89, 
78, 86, 86, 
89, 6, 59, 
42, 80, 78, 
41, 70, 72, 
78, 33, 48, 
86, 77, 98, 
34, 45, 55, 
4, 18, 54, 
4, 40, 18, 
56, 95, 78, 
4, 85, 2, 
47, 1, 28, 
98, 54, 62, 
29, 10, 17, 
99, 6, 63, 
11, 96, 55, 
94, 12, 62, 
64, 85, 79, 
55, 33, 54, 
11, 56, 86, 
42, 61, 25, 
68, 78, 13, 
22, 97, 47, 
27, 29, 3, 
35, 36, 88, 
91, 94, 29, 
41, 15, 94, 
63, 43, 32, 
99, 80, 3, 
38, 10, 53, 
18, 40, 40, 
68, 72, 84, 
