100
63, 46, 11, 
58, 44, 31, 
50, 37, 8, 
35, 15, 13, 
7, 41, 59, 
78, 41, 24, 
67, 87, 19, 
3, 38, 41, 
94, 41, 35, 
80, 69, 76, 
50, 33, 0, 
11, 52, 88, 
43, 20, 53, 
10, 3, 2, 
58, 91, 19, 
76, 83, 54, 
55, 62, 26, 
53, 34, 81, 
73, 27, 0, 
74, 32, 39, 
70, 61, 55, 
46, 4, 96, 
38, 40, 71, 
13, 70, 31, 
1, 43, 51, 
49, 66, 54, 
70, 3, 41, 
16, 70, 73, 
38, 96, 17, 
20, 92, 73, 
96, 10, 65, 
50, 67, 5, 
57, 48, 13, 
42, 97, 27, 
72, 7, 65, 
22, 51, 71, 
12, 6, 85, 
85, 70, 30, 
58, 20, 47, 
84, 19, 25, 
42, 81, 86, 
37, 88, 9, 
50, 85, 22, 
73, 60, 3, 
23, 18, 87, 
11, 7, 95, 
58, 93, 21, 
66, 83, 25, 
32, 31, 30, 
68, 49, 52, 
22, 77, 2, 
96, 71, 73, 
1, 6, 53, 
58, 74, 57, 
4, 74, 15, 
10, 5, 6, 
23, 33, 43, 
88, 57, 72, 
13, 42, 62, 
36, 63, 48, 
92, 9, 91, 
73, 76, 0, 
59, 85, 34, 
15, 52, 57, 
79, 45, 9, 
55, 40, 95, 
67, 52, 21, 
97, 83, 79, 
12, 29, 43, 
48, 12, 49, 
9, 93, 24, 
99, 82, 4, 
84, 30, 1, 
81, 14, 42, 
14, 9, 44, 
65, 46, 87, 
61, 72, 8, 
73, 97, 68, 
33, 31, 83, 
49, 68, 52, 
50, 90, 59, 
85, 61, 6, 
74, 22, 90, 
74, 18, 85, 
0, 69, 60, 
34, 61, 96, 
95, 57, 44, 
38, 54, 86, 
60, 75, 86, 
54, 60, 11, 
8, 88, 92, 
66, 14, 51, 
15, 46, 4, 
7, 14, 44, 
9, 62, 18, 
74, 5, 84, 
6, 12, 77, 
29, 84, 33, 
85, 66, 64, 
73, 10, 6, 
